12;genre;metal
13;genre;punk
19;genre;jazz
22;genre;hardcore
25;genre;alternative rock
26;genre;indie rock
31;genre;punk rock
34;genre;electro
37;genre;chillout
38;genre;death metal
41;genre;black metal
42;genre;rap
43;genre;indie pop
45;genre;hard rock
46;genre;hip hop
47;genre;techno
48;genre;heavy metal
49;genre;soul
50;genre;House
51;genre;Progressive rock
53;genre;industrial
57;genre;new wave
58;genre;post-punk
59;genre;Classical
64;genre;pop rock
65;genre;Avant-Garde
68;genre;downtempo
72;genre;blues
74;instrument;guitar
