102;genre;dark ambient
103;genre;folk rock
105;genre;lounge
106;genre;rnb
109;instrument;vocal
111;mood;Love
113;mood;beautiful
114;genre;grindcore
116;genre;doom metal
119;mood;sexy
120;genre;Psychedelic Rock
125;genre;post-hardcore
126;genre;electropop
128;genre;dub
130;genre;shoegaze
133;genre;JPop
134;genre;Disco
135;genre;country
136;genre;ska
137;mood;Mellow
141;genre;Brutal Death Metal
143;genre;Melodic Death Metal
144;genre;Drum and bass
147;genre;darkwave
149;genre;screamo
150;mood;dark
153;genre;pop punk
154;genre;hiphop
155;genre;Power metal
156;genre;contemporary classical
158;genre;J-rock
161;genre;new age
162;genre;dubstep
170;instrument;bass
175;mood;cool
176;genre;ebm
178;genre;avantgarde
179;genre;alternative metal
180;genre;post rock
182;genre;synth pop
184;genre;Stoner Rock
187;genre;Pop-Rock
188;genre;Garage Rock
189;genre;Grunge
191;genre;Gothic Rock
192;genre;Sludge
195;mood;comedy
196;genre;acid jazz
199;genre;indie folk
200;genre;Gothic Metal
201;genre;blues rock
203;instrument;synth
204;genre;noise rock
205;genre;r&b
206;mood;funky
207;mood;ethereal
208;mood;fun
209;genre;glitch
212;genre;Doom
213;mood;melancholic
214;genre;melodic metal
215;genre;Post punk
217;genre;garage
218;genre;soft rock
219;genre;britpop
220;genre;breakbeat
223;genre;power pop
225;genre;rock n roll
227;genre;Experimental Rock
234;mood;romantic
235;genre;deathcore
240;genre;deep house
241;genre;indietronica
243;genre;Rock and Roll
244;genre;neoclassical
247;genre;nu jazz
248;genre;melodic hardcore
249;genre;raw black metal
257;genre;Nu Metal
259;genre;dnb
261;genre;speed metal
267;genre;folk metal
270;genre;progressive trance
271;mood;melancholy
272;genre;symphonic metal
278;genre;emocore
285;genre;minimal techno
286;genre;trip hop
287;genre;Progressive House
289;mood;relaxing
294;mood;Dreamy
295;genre;psytrance
298;genre;jazz fusion
301;genre;industrial metal
305;instrument;percussion
310;genre;rockabilly
312;genre;Drum n Bass
315;genre;tech house
316;genre;Ballad
319;genre;jrock
331;genre;breakcore
341;genre;Electroclash
342;genre;Bossa Nova
343;genre;folk-rock
348;mood;cute
349;instrument;violin
351;mood;funny
355;mood;happy
362;genre;mpb
363;genre;Post-Metal
367;instrument;saxophone
368;genre;Smooth Jazz
369;genre;Grind
371;genre;contemporary jazz
373;mood;smooth
376;genre;pagan metal
378;genre;sludge metal
390;genre;electro house
394;genre;nu-jazz
408;genre;industrial rock
412;genre;gospel
413;genre;powerpop
417;genre;ska punk
419;genre;goa
